nameyear,name,datetime,year,month,day,hour,lat,long,pred_lat,pred_long,status,category,wind,pressure,ts_diameter,hu_diameter,rank
Caroline-1975,Caroline,8/27/1975 18:00,1975,8,27,18,21.5,-86.3,21.1,-85.1,tropical depression,-1,25,1014,,,13
Caroline-1975,Caroline,8/28/1975 0:00,1975,8,28,0,22,-87.5,21.5,-86.3,tropical depression,-1,25,1014,,,14
Caroline-1975,Caroline,8/28/1975 6:00,1975,8,28,6,22.4,-88.8,22,-87.5,tropical depression,-1,25,1014,,,15
Caroline-1975,Caroline,8/28/1975 12:00,1975,8,28,12,22.8,-90.1,22.4,-88.8,tropical depression,-1,25,1013,,,16
Caroline-1975,Caroline,8/28/1975 18:00,1975,8,28,18,22.9,-91,22.8,-90.1,tropical depression,-1,25,1010,,,17
Caroline-1975,Caroline,8/29/1975 0:00,1975,8,29,0,23,-91.9,22.9,-91,tropical depression,-1,30,1007,,,18
Caroline-1975,Caroline,8/29/1975 6:00,1975,8,29,6,23.1,-92.6,23,-91.9,tropical storm,0,35,1003,,,19
Caroline-1975,Caroline,8/29/1975 12:00,1975,8,29,12,23.2,-93.2,23.1,-92.6,tropical storm,0,40,999,,,20
Caroline-1975,Caroline,8/29/1975 18:00,1975,8,29,18,23.2,-93.6,23.2,-93.2,tropical storm,0,50,994,,,21
Caroline-1975,Caroline,8/30/1975 0:00,1975,8,30,0,23.3,-94.2,23.2,-93.6,hurricane,1,65,990,,,22
Caroline-1975,Caroline,8/30/1975 6:00,1975,8,30,6,23.5,-94.9,23.3,-94.2,hurricane,1,65,990,,,23
Caroline-1975,Caroline,8/30/1975 12:00,1975,8,30,12,23.7,-95.6,23.5,-94.9,hurricane,1,65,989,,,24
Caroline-1975,Caroline,8/30/1975 18:00,1975,8,30,18,23.8,-96.3,23.7,-95.6,hurricane,1,70,987,,,25
Caroline-1975,Caroline,8/31/1975 0:00,1975,8,31,0,24,-97,23.8,-96.3,hurricane,3,100,973,,,26
Caroline-1975,Caroline,8/31/1975 6:00,1975,8,31,6,24.1,-97.5,24,-97,hurricane,3,100,963,,,27
Caroline-1975,Caroline,8/31/1975 12:00,1975,8,31,12,24.3,-97.8,24.1,-97.5,hurricane,2,90,963,,,28
Caroline-1975,Caroline,8/31/1975 18:00,1975,8,31,18,24.8,-98,24.3,-97.8,tropical storm,0,55,993,,,29
Caroline-1975,Caroline,9/1/1975 0:00,1975,9,1,0,25.1,-98.3,24.8,-98,tropical depression,-1,30,1000,,,30
Caroline-1975,Caroline,9/1/1975 6:00,1975,9,1,6,25.2,-98.7,25.1,-98.3,tropical depression,-1,20,1002,,,31
Caroline-1975,Caroline,9/1/1975 12:00,1975,9,1,12,25.3,-99,25.2,-98.7,tropical depression,-1,20,1002,,,32
Doris-1975,Doris,8/29/1975 12:00,1975,8,29,12,34.9,-48.9,34.9,-48.9,tropical storm,0,45,1005,,,0
Doris-1975,Doris,8/29/1975 18:00,1975,8,29,18,35.2,-49.1,34.9,-48.9,tropical storm,0,50,1000,,,1
Doris-1975,Doris,8/30/1975 0:00,1975,8,30,0,35.3,-48.9,35.2,-49.1,tropical storm,0,55,997,,,2
Doris-1975,Doris,8/30/1975 6:00,1975,8,30,6,35.3,-48.5,35.3,-48.9,tropical storm,0,55,997,,,3
Doris-1975,Doris,8/30/1975 12:00,1975,8,30,12,35.3,-48,35.3,-48.5,tropical storm,0,55,997,,,4
Doris-1975,Doris,8/30/1975 18:00,1975,8,30,18,35,-47.1,35.3,-48,tropical storm,0,55,997,,,5
Doris-1975,Doris,8/31/1975 0:00,1975,8,31,0,34.9,-46.3,35,-47.1,hurricane,1,65,990,,,6
Doris-1975,Doris,8/31/1975 6:00,1975,8,31,6,34.8,-45.7,34.9,-46.3,hurricane,1,65,990,,,7
Doris-1975,Doris,8/31/1975 12:00,1975,8,31,12,34.7,-45.2,34.8,-45.7,hurricane,1,70,990,,,8
Doris-1975,Doris,8/31/1975 18:00,1975,8,31,18,34.6,-44.9,34.7,-45.2,hurricane,1,70,990,,,9
Doris-1975,Doris,9/1/1975 0:00,1975,9,1,0,34.5,-44.6,34.6,-44.9,hurricane,1,75,984,,,10
Doris-1975,Doris,9/1/1975 6:00,1975,9,1,6,34.6,-44.2,34.5,-44.6,hurricane,1,75,984,,,11
Doris-1975,Doris,9/1/1975 12:00,1975,9,1,12,34.9,-44,34.6,-44.2,hurricane,1,75,984,,,12
Doris-1975,Doris,9/1/1975 18:00,1975,9,1,18,35.4,-44,34.9,-44,hurricane,1,75,984,,,13
Doris-1975,Doris,9/2/1975 0:00,1975,9,2,0,35.8,-44.4,35.4,-44,hurricane,2,90,970,,,14
Doris-1975,Doris,9/2/1975 6:00,1975,9,2,6,36.4,-44.5,35.8,-44.4,hurricane,2,95,965,,,15
Doris-1975,Doris,9/2/1975 12:00,1975,9,2,12,37,-44.3,36.4,-44.5,hurricane,2,95,965,,,16
Doris-1975,Doris,9/2/1975 18:00,1975,9,2,18,37.7,-44.2,37,-44.3,hurricane,2,95,965,,,17
Doris-1975,Doris,9/3/1975 0:00,1975,9,3,0,38.4,-43.8,37.7,-44.2,hurricane,2,95,965,,,18
Doris-1975,Doris,9/3/1975 6:00,1975,9,3,6,39.7,-43.6,38.4,-43.8,hurricane,2,95,965,,,19
Doris-1975,Doris,9/3/1975 12:00,1975,9,3,12,41.1,-43,39.7,-43.6,hurricane,2,95,965,,,20
Doris-1975,Doris,9/3/1975 18:00,1975,9,3,18,42,-42.5,41.1,-43,hurricane,2,90,970,,,21
Doris-1975,Doris,9/4/1975 0:00,1975,9,4,0,42.8,-42,42,-42.5,tropical storm,0,60,995,,,22
Belle-1976,Belle,8/6/1976 6:00,1976,8,6,6,26,-72.8,26,-72.8,tropical depression,-1,25,1012,,,0
Belle-1976,Belle,8/6/1976 12:00,1976,8,6,12,26.3,-73,26,-72.8,tropical depression,-1,25,1012,,,1
Belle-1976,Belle,8/6/1976 18:00,1976,8,6,18,26,-73.4,26.3,-73,tropical depression,-1,30,1009,,,2
Belle-1976,Belle,8/7/1976 0:00,1976,8,7,0,25.6,-73.2,26,-73.4,tropical storm,0,40,1005,,,3
Belle-1976,Belle,8/7/1976 6:00,1976,8,7,6,26,-73.2,25.6,-73.2,tropical storm,0,45,1000,,,4
Belle-1976,Belle,8/7/1976 12:00,1976,8,7,12,26.2,-73.7,26,-73.2,tropical storm,0,55,993,,,5
Belle-1976,Belle,8/7/1976 18:00,1976,8,7,18,26.6,-74.2,26.2,-73.7,hurricane,1,70,985,,,6
Belle-1976,Belle,8/8/1976 0:00,1976,8,8,0,26.9,-74.6,26.6,-74.2,hurricane,1,80,972,,,7
Belle-1976,Belle,8/8/1976 6:00,1976,8,8,6,27.4,-75.1,26.9,-74.6,hurricane,2,90,962,,,8
Belle-1976,Belle,8/8/1976 12:00,1976,8,8,12,28.1,-75.1,27.4,-75.1,hurricane,2,95,959,,,9
Belle-1976,Belle,8/8/1976 18:00,1976,8,8,18,29.5,-75.3,28.1,-75.1,hurricane,3,100,958,,,10
Belle-1976,Belle,8/9/1976 0:00,1976,8,9,0,30.9,-75.3,29.5,-75.3,hurricane,3,105,957,,,11
Belle-1976,Belle,8/9/1976 6:00,1976,8,9,6,32.5,-75.2,30.9,-75.3,hurricane,3,105,959,,,12
Belle-1976,Belle,8/9/1976 12:00,1976,8,9,12,34.4,-74.7,32.5,-75.2,hurricane,2,95,963,,,13
Belle-1976,Belle,8/9/1976 18:00,1976,8,9,18,36.6,-74.2,34.4,-74.7,hurricane,2,90,970,,,14
Belle-1976,Belle,8/10/1976 0:00,1976,8,10,0,38.8,-73.8,36.6,-74.2,hurricane,1,80,977,,,15
Belle-1976,Belle,8/10/1976 6:00,1976,8,10,6,41,-73.2,38.8,-73.8,tropical storm,0,60,983,,,16
Belle-1976,Belle,8/10/1976 12:00,1976,8,10,12,42.6,-72.4,41,-73.2,tropical storm,0,35,992,,,17
Gloria-1976,Gloria,9/26/1976 12:00,1976,9,26,12,23,-58,23,-58,tropical depression,-1,20,1009,,,0
Gloria-1976,Gloria,9/26/1976 18:00,1976,9,26,18,23.7,-58.1,23,-58,tropical depression,-1,20,1007,,,1
Gloria-1976,Gloria,9/27/1976 0:00,1976,9,27,0,24.3,-58.2,23.7,-58.1,tropical depression,-1,25,1005,,,2
Gloria-1976,Gloria,9/27/1976 6:00,1976,9,27,6,24.9,-58.1,24.3,-58.2,tropical depression,-1,30,1001,,,3
Gloria-1976,Gloria,9/27/1976 12:00,1976,9,27,12,25.7,-58,24.9,-58.1,tropical storm,0,35,997,,,4
Gloria-1976,Gloria,9/27/1976 18:00,1976,9,27,18,26.3,-58,25.7,-58,tropical storm,0,45,994,,,5
Gloria-1976,Gloria,9/28/1976 0:00,1976,9,28,0,27,-58,26.3,-58,tropical storm,0,55,993,,,6
Gloria-1976,Gloria,9/28/1976 6:00,1976,9,28,6,27.5,-58.2,27,-58,tropical storm,0,60,992,,,7
Gloria-1976,Gloria,9/28/1976 12:00,1976,9,28,12,27.8,-58.6,27.5,-58.2,tropical storm,0,60,992,,,8
Gloria-1976,Gloria,9/28/1976 18:00,1976,9,28,18,28.2,-59,27.8,-58.6,tropical storm,0,60,991,,,9
Gloria-1976,Gloria,9/29/1976 0:00,1976,9,29,0,28.6,-59.5,28.2,-59,tropical storm,0,60,988,,,10
Gloria-1976,Gloria,9/29/1976 6:00,1976,9,29,6,29.1,-59.8,28.6,-59.5,hurricane,1,65,984,,,11
Gloria-1976,Gloria,9/29/1976 12:00,1976,9,29,12,29.7,-60.2,29.1,-59.8,hurricane,1,65,979,,,12
Gloria-1976,Gloria,9/29/1976 18:00,1976,9,29,18,30.2,-60.3,29.7,-60.2,hurricane,1,70,973,,,13
Gloria-1976,Gloria,9/30/1976 0:00,1976,9,30,0,31.1,-60.2,30.2,-60.3,hurricane,1,80,970,,,14
Gloria-1976,Gloria,9/30/1976 6:00,1976,9,30,6,32.2,-59.8,31.1,-60.2,hurricane,2,85,971,,,15
Gloria-1976,Gloria,9/30/1976 12:00,1976,9,30,12,33.1,-58.8,32.2,-59.8,hurricane,2,90,977,,,16
Gloria-1976,Gloria,9/30/1976 18:00,1976,9,30,18,34,-57.5,33.1,-58.8,hurricane,2,90,981,,,17
Gloria-1976,Gloria,10/1/1976 0:00,1976,10,1,0,34.7,-56.1,34,-57.5,hurricane,2,90,985,,,18
Gloria-1976,Gloria,10/1/1976 6:00,1976,10,1,6,35.3,-54.8,34.7,-56.1,hurricane,2,85,988,,,19
Gloria-1976,Gloria,10/1/1976 12:00,1976,10,1,12,35.7,-53.7,35.3,-54.8,hurricane,1,80,990,,,20
Gloria-1976,Gloria,10/1/1976 18:00,1976,10,1,18,36.1,-52.6,35.7,-53.7,hurricane,1,75,992,,,21
Gloria-1976,Gloria,10/2/1976 0:00,1976,10,2,0,36.4,-51.7,36.1,-52.6,hurricane,1,70,993,,,22
Gloria-1976,Gloria,10/2/1976 6:00,1976,10,2,6,36.6,-50.8,36.4,-51.7,tropical storm,0,60,994,,,23
Gloria-1976,Gloria,10/2/1976 12:00,1976,10,2,12,36.8,-49.9,36.6,-50.8,tropical storm,0,60,995,,,24
Gloria-1976,Gloria,10/2/1976 18:00,1976,10,2,18,36.9,-49,36.8,-49.9,tropical storm,0,55,996,,,25
Gloria-1976,Gloria,10/3/1976 0:00,1976,10,3,0,36.8,-48.3,36.9,-49,tropical storm,0,50,997,,,26
Gloria-1976,Gloria,10/3/1976 6:00,1976,10,3,6,36.4,-47.6,36.8,-48.3,tropical storm,0,45,998,,,27
Gloria-1976,Gloria,10/3/1976 12:00,1976,10,3,12,36.2,-46.9,36.4,-47.6,tropical storm,0,40,999,,,28
Gloria-1976,Gloria,10/3/1976 18:00,1976,10,3,18,35.8,-45.8,36.2,-46.9,tropical storm,0,40,1001,,,29
Gloria-1976,Gloria,10/4/1976 0:00,1976,10,4,0,35.7,-44.6,35.8,-45.8,tropical storm,0,35,1002,,,30
Gloria-1976,Gloria,10/4/1976 6:00,1976,10,4,6,36,-43,35.7,-44.6,tropical depression,-1,30,1003,,,31
Gloria-1976,Gloria,10/4/1976 12:00,1976,10,4,12,36.5,-41.4,36,-43,tropical depression,-1,30,1005,,,32
Gloria-1976,Gloria,10/4/1976 18:00,1976,10,4,18,37.4,-38.7,36.5,-41.4,tropical depression,-1,30,1006,,,33
Anita-1977,Anita,8/29/1977 12:00,1977,8,29,12,26.9,-88.4,26.9,-88.4,tropical depression,-1,20,1012,,,0
Anita-1977,Anita,8/29/1977 18:00,1977,8,29,18,27,-88.9,26.9,-88.4,tropical depression,-1,25,1010,,,1
Anita-1977,Anita,8/30/1977 0:00,1977,8,30,0,26.9,-89.4,27,-88.9,tropical depression,-1,30,1009,,,2
Anita-1977,Anita,8/30/1977 6:00,1977,8,30,6,26.8,-89.8,26.9,-89.4,tropical storm,0,40,1006,,,3
Anita-1977,Anita,8/30/1977 12:00,1977,8,30,12,26.7,-90.3,26.8,-89.8,tropical storm,0,50,1003,,,4
Anita-1977,Anita,8/30/1977 18:00,1977,8,30,18,26.5,-90.6,26.7,-90.3,hurricane,1,65,997,,,5
Anita-1977,Anita,8/31/1977 0:00,1977,8,31,0,26.4,-91,26.5,-90.6,hurricane,1,70,991,,,6
Anita-1977,Anita,8/31/1977 6:00,1977,8,31,6,26.3,-91.4,26.4,-91,hurricane,1,75,988,,,7
Anita-1977,Anita,8/31/1977 12:00,1977,8,31,12,26.2,-91.8,26.3,-91.4,hurricane,1,75,986,,,8
Anita-1977,Anita,8/31/1977 18:00,1977,8,31,18,26.1,-92.3,26.2,-91.8,hurricane,1,80,985,,,9
Anita-1977,Anita,9/1/1977 0:00,1977,9,1,0,25.9,-92.8,26.1,-92.3,hurricane,1,80,979,,,10
Anita-1977,Anita,9/1/1977 6:00,1977,9,1,6,25.8,-93.7,25.9,-92.8,hurricane,2,85,972,,,11
Anita-1977,Anita,9/1/1977 12:00,1977,9,1,12,25.5,-94.7,25.8,-93.7,hurricane,2,90,963,,,12
Anita-1977,Anita,9/1/1977 18:00,1977,9,1,18,25.2,-95.5,25.5,-94.7,hurricane,3,110,945,,,13
Anita-1977,Anita,9/2/1977 0:00,1977,9,2,0,24.6,-96.2,25.2,-95.5,hurricane,5,140,931,,,14
Anita-1977,Anita,9/2/1977 6:00,1977,9,2,6,24.2,-97.1,24.6,-96.2,hurricane,5,150,926,,,15
Anita-1977,Anita,9/2/1977 12:00,1977,9,2,12,23.7,-98,24.2,-97.1,hurricane,4,120,940,,,16
Anita-1977,Anita,9/2/1977 18:00,1977,9,2,18,23.1,-99.2,23.7,-98,hurricane,1,70,978,,,17
Anita-1977,Anita,9/3/1977 0:00,1977,9,3,0,22.5,-101,23.1,-99.2,tropical storm,0,40,998,,,18
Anita-1977,Anita,9/3/1977 6:00,1977,9,3,6,22,-103,22.5,-101,tropical depression,-1,25,1011,,,19
Clara-1977,Clara,9/5/1977 12:00,1977,9,5,12,32.8,-80,32.8,-80,tropical depression,-1,20,1015,,,0
Clara-1977,Clara,9/5/1977 18:00,1977,9,5,18,33.2,-79,32.8,-80,tropical depression,-1,20,1014,,,1
Clara-1977,Clara,9/6/1977 0:00,1977,9,6,0,33.6,-78.2,33.2,-79,tropical depression,-1,20,1013,,,2
Clara-1977,Clara,9/6/1977 6:00,1977,9,6,6,33.8,-77.6,33.6,-78.2,tropical depression,-1,25,1012,,,3
Clara-1977,Clara,9/6/1977 12:00,1977,9,6,12,34,-77,33.8,-77.6,tropical depression,-1,25,1011,,,4
Clara-1977,Clara,9/6/1977 18:00,1977,9,6,18,34.2,-76.4,34,-77,tropical depression,-1,25,1010,,,5
Clara-1977,Clara,9/7/1977 0:00,1977,9,7,0,34.4,-75.8,34.2,-76.4,tropical depression,-1,30,1010,,,6
Clara-1977,Clara,9/7/1977 6:00,1977,9,7,6,34.6,-75,34.4,-75.8,tropical depression,-1,30,1010,,,7
Clara-1977,Clara,9/7/1977 12:00,1977,9,7,12,34.7,-74.3,34.6,-75,tropical depression,-1,30,1010,,,8
Clara-1977,Clara,9/7/1977 18:00,1977,9,7,18,34.9,-73,34.7,-74.3,tropical depression,-1,30,1010,,,9
Clara-1977,Clara,9/8/1977 0:00,1977,9,8,0,35.1,-71.7,34.9,-73,tropical storm,0,35,1006,,,10
Clara-1977,Clara,9/8/1977 6:00,1977,9,8,6,35.3,-69.7,35.1,-71.7,tropical storm,0,45,1001,,,11
Clara-1977,Clara,9/8/1977 12:00,1977,9,8,12,35.5,-67.7,35.3,-69.7,hurricane,1,65,993,,,12
Clara-1977,Clara,9/8/1977 18:00,1977,9,8,18,35.6,-66.2,35.5,-67.7,hurricane,1,65,994,,,13
Clara-1977,Clara,9/9/1977 0:00,1977,9,9,0,35.5,-64.6,35.6,-66.2,hurricane,1,65,998,,,14
Clara-1977,Clara,9/9/1977 6:00,1977,9,9,6,34.8,-63.5,35.5,-64.6,tropical storm,0,60,1000,,,15
Clara-1977,Clara,9/9/1977 12:00,1977,9,9,12,34,-62.8,34.8,-63.5,tropical storm,0,55,999,,,16
Clara-1977,Clara,9/9/1977 18:00,1977,9,9,18,33.4,-62.8,34,-62.8,tropical storm,0,50,1001,,,17
Clara-1977,Clara,9/10/1977 0:00,1977,9,10,0,32.8,-63.2,33.4,-62.8,tropical storm,0,45,1000,,,18
Clara-1977,Clara,9/10/1977 6:00,1977,9,10,6,32.8,-63.6,32.8,-63.2,tropical storm,0,40,1000,,,19
Clara-1977,Clara,9/10/1977 12:00,1977,9,10,12,33,-63.8,32.8,-63.6,tropical storm,0,45,1001,,,20
Clara-1977,Clara,9/10/1977 18:00,1977,9,10,18,33.5,-63.7,33,-63.8,tropical storm,0,45,1001,,,21
Clara-1977,Clara,9/11/1977 0:00,1977,9,11,0,34.2,-63.2,33.5,-63.7,tropical storm,0,45,1002,,,22
Clara-1977,Clara,9/11/1977 6:00,1977,9,11,6,34.8,-62.5,34.2,-63.2,tropical storm,0,45,1002,,,23
Evelyn-1977,Evelyn,10/13/1977 18:00,1977,10,13,18,26.9,-62.9,26.9,-62.9,tropical depression,-1,30,1010,,,0
Evelyn-1977,Evelyn,10/14/1977 0:00,1977,10,14,0,29,-64,26.9,-62.9,tropical depression,-1,30,1008,,,1
Evelyn-1977,Evelyn,10/14/1977 6:00,1977,10,14,6,30.9,-64.9,29,-64,tropical storm,0,35,1005,,,2
Evelyn-1977,Evelyn,10/14/1977 12:00,1977,10,14,12,33,-64.9,30.9,-64.9,tropical storm,0,40,1002,,,3
Evelyn-1977,Evelyn,10/14/1977 18:00,1977,10,14,18,35.9,-64.4,33,-64.9,tropical storm,0,50,999,,,4
Evelyn-1977,Evelyn,10/15/1977 0:00,1977,10,15,0,39.2,-63.3,35.9,-64.4,hurricane,1,65,994,,,5
Evelyn-1977,Evelyn,10/15/1977 6:00,1977,10,15,6,42.4,-61.5,39.2,-63.3,hurricane,1,70,996,,,6
Evelyn-1977,Evelyn,10/15/1977 12:00,1977,10,15,12,45.5,-60.1,42.4,-61.5,hurricane,1,70,998,,,7
Evelyn-1977,Evelyn,10/15/1977 18:00,1977,10,15,18,47.4,-59.2,45.5,-60.1,hurricane,1,70,999,,,8
Amelia-1978,Amelia,7/30/1978 18:00,1978,7,30,18,25.7,-97,25.7,-97,tropical depression,-1,30,1006,,,0
Amelia-1978,Amelia,7/31/1978 0:00,1978,7,31,0,26.4,-97.4,25.7,-97,tropical storm,0,45,1005,,,1
Amelia-1978,Amelia,7/31/1978 6:00,1978,7,31,6,27.2,-97.8,26.4,-97.4,tropical storm,0,40,1007,,,2
Amelia-1978,Amelia,7/31/1978 12:00,1978,7,31,12,28,-98.2,27.2,-97.8,tropical storm,0,35,1008,,,3
Amelia-1978,Amelia,7/31/1978 18:00,1978,7,31,18,28.6,-98.7,28,-98.2,tropical depression,-1,30,1010,,,4
Amelia-1978,Amelia,8/1/1978 0:00,1978,8,1,0,29.3,-99.2,28.6,-98.7,tropical depression,-1,25,1010,,,5
Bess-1978,Bess,8/5/1978 12:00,1978,8,5,12,25.3,-90.4,25.3,-90.4,tropical depression,-1,20,1012,,,0
Bess-1978,Bess,8/5/1978 18:00,1978,8,5,18,25.1,-91,25.3,-90.4,tropical depression,-1,20,1012,,,1
Bess-1978,Bess,8/6/1978 0:00,1978,8,6,0,24.8,-91.8,25.1,-91,tropical depression,-1,25,1011,,,2
Bess-1978,Bess,8/6/1978 6:00,1978,8,6,6,24.5,-92.5,24.8,-91.8,tropical depression,-1,30,1010,,,3
Bess-1978,Bess,8/6/1978 12:00,1978,8,6,12,24.2,-93.3,24.5,-92.5,tropical depression,-1,30,1009,,,4
Bess-1978,Bess,8/6/1978 18:00,1978,8,6,18,23.9,-94,24.2,-93.3,tropical storm,0,35,1008,,,5
Bess-1978,Bess,8/7/1978 0:00,1978,8,7,0,23.3,-95,23.9,-94,tropical storm,0,40,1007,,,6
Bess-1978,Bess,8/7/1978 6:00,1978,8,7,6,22.8,-95.7,23.3,-95,tropical storm,0,40,1006,,,7
Bess-1978,Bess,8/7/1978 12:00,1978,8,7,12,22.2,-96.2,22.8,-95.7,tropical storm,0,40,1005,,,8
Bess-1978,Bess,8/7/1978 18:00,1978,8,7,18,21.6,-96.6,22.2,-96.2,tropical storm,0,45,1006,,,9
Bess-1978,Bess,8/8/1978 0:00,1978,8,8,0,21.1,-96.8,21.6,-96.6,tropical storm,0,45,1007,,,10
Bess-1978,Bess,8/8/1978 6:00,1978,8,8,6,20.4,-96.9,21.1,-96.8,tropical storm,0,40,1008,,,11
Bess-1978,Bess,8/8/1978 12:00,1978,8,8,12,20,-97,20.4,-96.9,tropical depression,-1,25,1010,,,12
Cora-1978,Cora,8/7/1978 12:00,1978,8,7,12,13,-35,13,-35,tropical depression,-1,25,1010,,,0
Cora-1978,Cora,8/7/1978 18:00,1978,8,7,18,13.4,-36.2,13,-35,tropical depression,-1,25,1010,,,1
Cora-1978,Cora,8/8/1978 0:00,1978,8,8,0,13.8,-37.8,13.4,-36.2,tropical depression,-1,25,1009,,,2
